Tools,Port 2: NDI 8700339  s/n:34801403,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 3: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8330,1,OK,0.2792615,0.4541891,-0.2508961,0.8079458,56.65,78.383,-1408.865,0.2245025,4,OK,56.676,78.238,-1408.901,OK,61.308,30.932,-1394.344,OK,109.106,20.505,-1368.256,OK,110.822,83.456,-1383.359,Port 3: NDI 8700340  s/n:34802401,8330,1,OK,0.4553569,0.1504217,-0.2732718,0.833874,99.813,-174.236,-1238.852,0.1326144,4,OK,99.886,-174.214,-1238.995,OK,99.803,-203.795,-1198.474,OK,79.02,-244.476,-1166.211,OK,121.111,-243.392,-1122.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8333,1,OK,0.2792099,0.454575,-0.251047,0.8076997,56.632,78.388,-1408.854,0.2270585,4,OK,56.679,78.233,-1408.894,OK,61.299,30.925,-1394.346,OK,109.108,20.499,-1368.344,OK,110.815,83.445,-1383.375,Port 3: NDI 8700340  s/n:34802401,8333,1,OK,0.455367,0.150403,-0.273228,0.8338862,99.818,-174.256,-1238.905,0.1233939,4,OK,99.887,-174.223,-1239.039,OK,99.812,-203.817,-1198.558,OK,79.023,-244.488,-1166.248,OK,121.118,-243.404,-1122.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8336,1,OK,0.2792249,0.4543642,-0.2509414,0.807846,56.638,78.361,-1408.88,0.2255259,4,OK,56.671,78.221,-1408.926,OK,61.3,30.899,-1394.358,OK,109.112,20.479,-1368.313,OK,110.815,83.43,-1383.382,Port 3: NDI 8700340  s/n:34802401,8336,1,OK,0.455226,0.1503702,-0.2732612,0.8339583,99.813,-174.273,-1238.903,0.1264022,4,OK,99.883,-174.249,-1239.037,OK,99.808,-203.826,-1198.548,OK,79.028,-244.513,-1166.252,OK,121.108,-243.419,-1122.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8339,1,OK,0.2793644,0.4545679,-0.2508986,0.8076964,56.635,78.389,-1408.838,0.2271688,4,OK,56.677,78.236,-1408.878,OK,61.297,30.931,-1394.316,OK,109.113,20.505,-1368.308,OK,110.824,83.449,-1383.37,Port 3: NDI 8700340  s/n:34802401,8339,1,OK,0.455133,0.1503488,-0.273318,0.8339943,99.821,-174.241,-1238.884,0.1246323,4,OK,99.888,-174.218,-1239.021,OK,99.815,-203.803,-1198.519,OK,79.031,-244.485,-1166.256,OK,121.114,-243.392,-1122.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8342,1,OK,0.279219,0.4544605,-0.2509404,0.8077941,56.636,78.384,-1408.857,0.2289587,4,OK,56.676,78.235,-1408.894,OK,61.3,30.926,-1394.347,OK,109.119,20.506,-1368.305,OK,110.814,83.448,-1383.374,Port 3: NDI 8700340  s/n:34802401,8342,1,OK,0.4553209,0.1504503,-0.2732654,0.8338906,99.815,-174.246,-1238.889,0.1234123,4,OK,99.885,-174.222,-1239.018,OK,99.811,-203.809,-1198.536,OK,79.033,-244.484,-1166.244,OK,121.121,-243.402,-1122.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8345,1,OK,0.2793482,0.4544038,-0.2509239,0.8077865,56.637,78.371,-1408.864,0.22842,4,OK,56.67,78.221,-1408.903,OK,61.291,30.915,-1394.346,OK,109.105,20.487,-1368.301,OK,110.823,83.429,-1383.379,Port 3: NDI 8700340  s/n:34802401,8345,1,OK,0.455318,0.1503613,-0.2732562,0.8339113,99.821,-174.271,-1238.908,0.1283425,4,OK,99.89,-174.243,-1239.048,OK,99.81,-203.828,-1198.543,OK,79.025,-244.503,-1166.258,OK,121.109,-243.419,-1122.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8348,1,OK,0.2793072,0.4545412,-0.2509111,0.8077273,56.631,78.387,-1408.843,0.2276833,4,OK,56.677,78.239,-1408.892,OK,61.298,30.927,-1394.31,OK,109.111,20.511,-1368.319,OK,110.812,83.444,-1383.363,Port 3: NDI 8700340  s/n:34802401,8348,1,OK,0.455346,0.1503664,-0.2732389,0.8339008,99.82,-174.25,-1238.888,0.1287723,4,OK,99.893,-174.221,-1239.027,OK,99.807,-203.805,-1198.53,OK,79.024,-244.482,-1166.232,OK,121.112,-243.397,-1122.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8351,1,OK,0.2795201,0.4545575,-0.2506553,0.8077239,56.631,78.378,-1408.85,0.2233952,4,OK,56.672,78.234,-1408.9,OK,61.299,30.927,-1394.291,OK,109.118,20.508,-1368.301,OK,110.818,83.453,-1383.391,Port 3: NDI 8700340  s/n:34802401,8351,1,OK,0.4552059,0.1504474,-0.2733338,0.8339315,99.812,-174.238,-1238.868,0.1224834,4,OK,99.881,-174.219,-1238.997,OK,99.814,-203.801,-1198.51,OK,79.025,-244.494,-1166.241,OK,121.12,-243.4,-1122.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8354,1,OK,0.2791376,0.454483,-0.2510561,0.8077736,56.632,78.383,-1408.85,0.2310856,4,OK,56.666,78.232,-1408.881,OK,61.295,30.924,-1394.363,OK,109.116,20.497,-1368.305,OK,110.815,83.439,-1383.365,Port 3: NDI 8700340  s/n:34802401,8354,1,OK,0.45519,0.1504272,-0.2733193,0.8339486,99.809,-174.248,-1238.894,0.1240899,4,OK,99.884,-174.228,-1239.019,OK,99.802,-203.811,-1198.545,OK,79.029,-244.501,-1166.257,OK,121.113,-243.406,-1122.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8357,1,OK,0.2791993,0.4544372,-0.2509834,0.8078007,56.633,78.372,-1408.867,0.2321233,4,OK,56.669,78.221,-1408.918,OK,61.296,30.921,-1394.347,OK,109.115,20.491,-1368.325,OK,110.809,83.43,-1383.369,Port 3: NDI 8700340  s/n:34802401,8357,1,OK,0.4554418,0.1504143,-0.2731952,0.8338541,99.816,-174.265,-1238.898,0.1244889,4,OK,99.886,-174.23,-1239.031,OK,99.81,-203.824,-1198.551,OK,79.021,-244.492,-1166.23,OK,121.116,-243.409,-1122.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
